Covidence #,Study ID,Title,Reviewer Name,Include?,Primary study aim,Country in which the study was conducted,Study design,Data source,Database/Randomized controlled trial name (if applicable),Clinical setting of data collection,Start date for collection of patient data (YYYY),End date for collection of patient data (YYYY),Age criteria for inclusion (in years),"How is TBI defined? (e.g., ""ICD9 codes"", ""Not defined"")",Range of TBI severity in patient population,"Factors used to define TBI severity, separated by commas (e.g., ""GCS"", ""GCS, AIS"")",Specific inclusion criteria,Specific exclusion criteria,Number of participants included in prognostication analysis,Average age of participants (in years),"Male/female ratio (""M"" if all male, ""F"" if all female)",Prognostic factors and outcomes analyses,Types of models involved for prognostication analysis,Additional notes on core information,Additional notes
6802,Wan 2016,Elderly Patients with Severe Traumatic Brain Injury Could Benefit from Surgical Treatment.,Steven Qiu,No (Wrong patient population),Analysis of prognostic factors,Other: China,Cohort study,Retrospective chart review,"","",2008,2014,>=65,"","","","","",328,"","","","","",""
6780,Cai 2016,The role of cardiac troponin I in prognostication of patients with isolated severe traumatic brain injury.,Steven Qiu,Yes,Analysis of prognostic factors,US,Cohort study,Retrospective chart review,"",Hospital admission,2007,2014,>=18,AIS (AIS head >=3),Severe,"GCS, AIS",Isolated TBI,Non-head AIS >=3,580,56.3,2.42,"Age | Mortality (at discharge) | Y | Wilcoxon test
Age (>65) | Mortality (at discharge) | Y | Chi-squared
Gender | Mortality (at discharge) | Y | Chi-squared
Mechanism | Mortality (at discharge) | Y | Chi-squared
ISS | Mortality (at discharge) | Y | Chi-squared
GCS (admission) | Mortality (at discharge) | Y | Chi-squared
SAH | Mortality (at discharge) | N | Chi-squared
IVH | Mortality (at discharge) | Y | Chi-squared
Cerebral hematoma | Mortality (at discharge) | Y | Chi-squared
Cerebral contusion | Mortality (at discharge) | Y | Chi-squared
Cerebral edema | Mortality (at discharge) | Y | Chi-squared
Skull fracture | Mortality (at discharge) | N | Chi-squared
ICU (duration) | Mortality (at discharge) | Y | Wilcoxon test
Admission (duration) | Mortality (at discharge) | Y | Wilcoxon test
cTnI | Mortality (at discharge) | Y | Chi-squared
Comorbidity (cardiac diseases) | Mortality (at discharge) | Y | Chi-squared

cTnI | Mortality (at discharge) | Y | Regression (Cox)
cTnI | Mortality (at discharge) | Y | Likelihood ratio test (ROC AUC)","Regression (i.e., logistic, linear); T-test/Mann-Whitney U-test/Wilcoxon test; Chi-squared/Fisher's exact test; Binary classifier with ROC; Other: Cox Proportional Hazards Model, Likelihood ratio test","",""
6776,Tator 2016,Postconcussion syndrome: demographics and predictors in 221 patients.,Steven Qiu,No (Wrong patient population),Analysis of prognostic factors,Canada,Cohort study,Retrospective chart review,"","",1997,2013,"","","","","","","","","","","","",""
6774,Litofsky 2016,The Negative Impact of Anemia in Outcome from Traumatic Brain Injury.,Steven Qiu,Yes,Analysis of prognostic factors,US,Cohort study,Retrospective chart review,"",Emergency department; Hospital admission,2009,2013,>=18,"AIS (head AIS >=3), CT findings","","","AIS head >=3
Positive CT findings
Abnormal neurological findings",Penetrating TBI,939,46.75,1.95,"Age | GOS | Y | Regression
GCS (admission) | GOS | Y | Regression
ISS | GOS | Y | Regression
Hemoglobin (admission) | GOS | Y | Regression
Hemoglobin (8 days post-injury, minimum) | GOS | Y | Regression","Regression (i.e., logistic, linear); Binary classifier with ROC",Outcome was classified with a Glasgow Outcome Scale (GOS) score at last follow-up visit documented up to 1 year after injury - not standardized,""
6772,Chen 2016,Role of signal peptide-Cub-Egf domain-containing protein-1 in serum as a predictive biomarker of outcome after severe traumatic brain injury.,Steven Qiu,Yes,Analysis of prognostic factors,Other: China,Cohort study,Prospective data collection,"",Hospital admission,2011,2014,>=18,Not defined,Severe,GCS,"","Non-head ISS >9
Recent infection (within 1 month)
History of neurological diseases (e.g., stroke, severe head trauma) or prior systematic diseases (e.g., diabetes, hypertension, uremia, liver cirrhosis, malignancy, chronic heart or lung disease)
Use of immunosuppressants, antiplatelets, or anticoagulants",113,42,1.22,"Gender | GOS (6 months post-injury) | N | Chi-squared
Age | GOS (6 months post-injury) | Y | T-test
GCS | GOS (6 months post-injury) | Y | T-test
Pupil reactivity | GOS (6 months post-injury) | Y | Chi-squared
Marshall score | GOS (6 months post-injury) | Y | Chi-squared
Abnormal cisterns | GOS (6 months post-injury) | Y | Chi-squared
Midline shift (>5mm) | GOS (6 months post-injury) | Y | Chi-squared
SAH | GOS (6 months post-injury) | Y | Chi-squared
Admission (duration) | GOS (6 months post-injury) | N | T-test
SBP | GOS (6 months post-injury) | N | T-test
DBP | GOS (6 months post-injury) | N | T-test
Glucose (blood) | GOS (6 months post-injury) | Y | T-test
CRP (plasma) | GOS (6 months post-injury) | Y | T-test
D-dimer (plasma) | GOS (6 months post-injury) | N | T-test
WBC (blood) | GOS (6 months post-injury) | N | T-test
Hemoglobin (blood) | GOS (6 months post-injury) | N | T-test
Platelet count (blood) | GOS (6 months post-injury) | N | T-test
Prothrombin time | GOS (6 months post-injury) | N | T-test
Thrombin time | GOS (6 months post-injury) | N | T-test
Partial thromboplastin time | GOS (6 months post-injury) | N | T-test
Fibrinogen (plasma) | GOS (6 months post-injury) | N | T-test
SCUBE1 (serum) | GOS (6 months post-injury) | Y | T-test

Age | GOS (6 months post-injury) | N | Regression
GCS | GOS (6 months post-injury) | Y | Regression
Pupil reactivity | GOS (6 months post-injury) | N | Regression
Marshall score | GOS (6 months post-injury) | N | Regression
Abnormal cisterns | GOS (6 months post-injury) | N | Regression
Midline shift (>5mm) | GOS (6 months post-injury) | N | Regression
SAH | GOS (6 months post-injury) | N | Regression
Glucose (blood) | GOS (6 months post-injury) | N | Regression
CRP (plasma) | GOS (6 months post-injury) | N | Regression
SCUBE1 (serum) | GOS (6 months post-injury) | Y | Regression

SCUBE1 (serum) | GOS (6 months post-injury) | Y | ROC AUC
GCS | GOS (6 months post-injury) | Y | ROC AUC","Regression (i.e., logistic, linear); T-test/Mann-Whitney U-test/Wilcoxon test; Chi-squared/Fisher's exact test; Binary classifier with ROC","",""
6704,Osler 2016,The differential mortality of Glasgow Coma Score in patients with and without head injury.,Steven Qiu,No (Wrong analysis),"","","","","","","","","","","","","","","","","","","","",""
6693,Wu 2016,The prognostic value of plasma nesfatin-1 concentrations in patients with traumatic brain injury.,Steven Qiu,Yes,Analysis of prognostic factors,Other: China,Cohort study,Prospective data collection,"",Hospital admission,2010,2015,>=18,Positive CT findings,Severe,GCS,">=2 head CTs in first 72hrs, >=4 head CTs in first week post-injury","Non-head AIS >=3
Previous head traumaa
Neurological disease (e.g., stroke), 
Anticoagulant or antiplatelet use
History of systemic diseases (e.g., uremia, liver cirrhosis, malignancy, chronic heart or lung disease, diabetes, hypertension)",100,37.1,1.44,"Nesfatin-1 (plasma) | Mortality (at discharge) | Y | T-test
Nesfatin-1 (plasma) | Bleed progression | Y | T-test
Nesfatin-1 (plasma) | Posttraumatic cerebral infarction | Y | T-test

Gender | Mortality (at discharge) | N | Regression
Age | Mortality (at discharge) | N | Regression
GCS | Mortality (at discharge) | Y | Regression
Pupil reactivity | Mortality (at discharge) | Y | Regression
Abnormal cisterns | Mortality (at discharge) | Y | Regression
Midline shift (>5mm) | Mortality (at discharge) | Y | Regression
SAH | Mortality (at discharge) | Y | Regression
Admission (duration) | Mortality (at discharge) | N | Regression
Glucose (blood) | Mortality (at discharge) | Y | Regression
CRP (plasma) | Mortality (at discharge) | Y | Regression
Fibrinogen (plasma) | Mortality (at discharge) | N | Regression
D-dimer (plasma) | Mortality (at discharge) | N | Regression
Nesfatin-1 (plasma) | Mortality (at discharge) | Y | Regression

Gender | Bleed progression | N | Regression
Age | Bleed progression | N | Regression
GCS | Bleed progression | Y | Regression
Pupil reactivity | Bleed progression | Y | Regression
Abnormal cisterns | Bleed progression | Y | Regression
Midline shift (>5mm) | Bleed progression | Y | Regression
SAH | Bleed progression | Y | Regression
Admission (duration) | Bleed progression | N | Regression
Glucose (blood) | Bleed progression | Y | Regression
CRP (plasma) | Bleed progression | Y | Regression
Fibrinogen (plasma) | Bleed progression | N | Regression
D-dimer (plasma) | Bleed progression | N | Regression
Nesfatin-1 (plasma) | Bleed progression | Y | Regression

Gender | Posttraumatic cerebral infarction | N | Regression
Age | Posttraumatic cerebral infarction | N | Regression
GCS | Posttraumatic cerebral infarction | Y | Regression
Pupil reactivity | Posttraumatic cerebral infarction | Y | Regression
Abnormal cisterns | Posttraumatic cerebral infarction | Y | Regression
Midline shift (>5mm) | Posttraumatic cerebral infarction | Y | Regression
SAH | Posttraumatic cerebral infarction | Y | Regression
Admission (duration) | Posttraumatic cerebral infarction | N | Regression
Glucose (blood) | Posttraumatic cerebral infarction | Y | Regression
CRP (plasma) | Posttraumatic cerebral infarction | Y | Regression
Fibrinogen (plasma) | Posttraumatic cerebral infarction | N | Regression
D-dimer (plasma) | Posttraumatic cerebral infarction | N | Regression
Nesfatin-1 (plasma) | Posttraumatic cerebral infarction | Y | Regression

Nesfatin-1 (plasma) | Mortality (at discharge) | Y | ROC AUC
GCS | Mortality (at discharge) | Y | ROC AUC
Nesfatin-1 (plasma) | Bleed progression | Y | ROC AUC
GCS | Bleed progression | Y | ROC AUC
Nesfatin-1 (plasma) | Posttraumatic cerebral infarction | Y | ROC AUC
GCS | Posttraumatic cerebral infarction | Y | ROC AUC","Regression (i.e., logistic, linear); T-test/Mann-Whitney U-test/Wilcoxon test; Binary classifier with ROC","",""
6649,Albrecht 2016,Sex differences in mortality following isolated traumatic brain injury among older adults.,Steven Qiu,Yes,Analysis of prognostic factors,US,Cohort study,Retrospective chart review,"",Hospital admission,1996,2012,>=65,"ICD9-CM codes (800.xx, 801.xx, 803.xx, 804.xx, 850.xx- 854.1x, 950.1–950.3, 959.01; CDC definition for TBI)",Mild; Moderate; Severe,GCS,"","",4854,"","","Gender | Mortality (all-cause, in-hospital) | Y | Chi-squared
Age | Mortality (all-cause, in-hospital) | Y | T-test
AIS head score | Mortality (all-cause, in-hospital) | Y | Chi-squared
GCS | Mortality (all-cause, in-hospital) | Y | Chi-squared
ISS | Mortality (all-cause, in-hospital) | Y | Chi-squared
Severity of other injuries | Mortality (all-cause, in-hospital) | Y | Chi-squared
Cardiac arrhythmia | Mortality (all-cause, in-hospital) | Y | Chi-squared
SBP | Mortality (all-cause, in-hospital) | Y | Chi-squared
AIS face score | Mortality (all-cause, in-hospital) | Y | Chi-squared
AIS spine score | Mortality (all-cause, in-hospital) | Y | Chi-squared
AIS thorax score | Mortality (all-cause, in-hospital) | Y | Chi-squared
AIS abdominal score | Mortality (all-cause, in-hospital) | Y | Chi-squared
AIS upper extremity score | Mortality (all-cause, in-hospital) | Y | Chi-squared","Regression (i.e., logistic, linear); T-test/Mann-Whitney U-test/Wilcoxon test; Chi-squared/Fisher's exact test","","Contains multiple analyses (isolated vs generic TBI)
Collected info from ""All TBI"" subset rather than isolated"
6555,Bjugstad 2016,Oxidation-Reduction Potential as a Biomarker for Severity and Acute Outcome in Traumatic Brain Injury.,Steven Qiu,Yes,Analysis of prognostic factors,US,Cohort study,Retrospective database/RCT data,TraumaBase,Emergency department; Hospital admission,2007,2018,">=18, <70","ICD9-CM codes (concussion (850.0–850.99); cerebral or cerebellar contusion or laceration (851.0–851.99); subarachnoid hemorrhage (852.0–852.19); subdural hemorrhage (852.2–852.39); extradural hemorrhage (852.4–852.59); other, unspecified intracranial hemorrhage (853.0–853.19); and intracranial injury of unspecified nature (854.0–854.19))",Mild; Moderate; Severe,GCS,"","AIS head <2
Non-head AIS region was scored higher than the AIS head
Severe systemic injury with hypotension",132,54.53,1.81,"Antioxidant capacity | Composite outcome | Y | Regression
ISS | Composite outcome | Y | Regression
AIS-Head | Composite outcome | Y | Regression
GCS | Composite outcome | N | Regression ","Regression (i.e., logistic, linear); ANOVA/Kruskal-Wallis test/Friedman test","",""
6037,Hammond 2017,Potential Impact of Amantadine on Aggression in Chronic Traumatic Brain Injury.,Steven Qiu,No (Wrong patient population),"","","","","","","","","","","","","","","","","","","","",""
6015,AboEl-Noor 2017,"Forensic and clinical significance of serum amylase, lipase and gamma glutamyl transferase as predictors of outcome in head injured patients.",Steven Qiu,No (Wrong patient population),"","","","","","",2015,2015,"","","","","","Abdominal trauma
History of liver/pancreatic diseases or pre-existing pathologies that may have influenced serum AMY, lipase, and GGT levels
History of neurological, psychiatric diseases, or alcohol/drug abuse",60,"","","","","",""
5970,Adams 2017,Temporal profile of intracranial pressure and cerebrovascular reactivity in severe traumatic brain injury and association with fatal outcome: An observational study.,Steven Qiu,No (Wrong patient population),"",UK,"","","","","","",>=16,"","","","","","","","","","","",""
4961,Ponsford 2020,The impact of cultural background on outcome following traumatic brain injury.,Steven Qiu,Yes,Analysis of prognostic factors,Australia,Case control study,Prospective data collection,"",Hospital admission,1997,2016,15-77,Not defined,Mild; Moderate; Severe,GCS,"","",206,38.5,1.42,"Culturally diverse background | Admission (duration) | N | U-test
Culturally diverse background | PTA (duration) | N | U-test
Culturally diverse background | Lack of anger | N | U-test
Culturally diverse background | Reliance on professional help | N | U-test
Culturally diverse background | MOT-Q score | N | T-test
Culturally diverse background | Physical outcome (CHART physical independence) | N | U-test
Culturally diverse background | Cognitive outcome (CHART cognitive independence) | Y | U-test
Culturally diverse background | Physical outcome (CHART mobility) | Y | U-test
Culturally diverse background | Occupational outcome (CHART occupation) | Y | U-test
Culturally diverse background | Social outcome (CHART social integration) | Y | U-test
Culturally diverse background | Composite outcome (CHART score) | Y | U-test

Culturally diverse background | ADLs | N | Chi-squared
Culturally diverse background | IADLs | Y | Chi-squared
Culturally diverse background | Occupational outcome (employment status) | Y | Chi-squared
Culturally diverse background | Anxiety | Y | U-test
Culturally diverse background | Depression | Y | U-test

Cultural background (Australian) | Composite outcome (CHART score) | Y | Regression
Gender | Composite outcome (CHART score) | N | Regression
Age | Composite outcome (CHART score) | Y | Regression
Education | Composite outcome (CHART score) | Y | Regression
Admission (duration) | Composite outcome (CHART score) | N | Regression
PTA (duration) | Composite outcome (CHART score) | N | Regression","Regression (i.e., logistic, linear); T-test/Mann-Whitney U-test/Wilcoxon test; Chi-squared/Fisher's exact test","",""
4931,Czorlich 2020,Operative versus non-operative treatment of traumatic brain injuries in patients 80 years of age or older.,Steven Qiu,Yes,Analysis of treatment effect,Other: Germany,Cohort study,Retrospective database/RCT data,TraumaRegister DGU,Emergency department; Hospital admission,2002,2016,>=80,AIS (AIS head >=3),"","","AIS head >=3
Non-head AIS <=1","",1311,"",0.86,"Gender | Mortality (at discharge) | Y | Regression
GCS | Mortality (at discharge) | Y | Regression
EDH | Mortality (at discharge) | N | Regression
SDH | Mortality (at discharge) | N | Regression
SAH | Mortality (at discharge) | N | Regression
ICH | Mortality (at discharge) | N | Regression
Brain edema | Mortality (at discharge) | Y | Regression
Brainstem hemorrhage | Mortality (at discharge) | N | Regression
Coagulopathy | Mortality (at discharge) | Y | Regression
Pupil reactivity (sluggish) | Mortality (at discharge) | N | Regression
Pupil reactivity (fixed) | Mortality (at discharge) | Y | Regression
Pupil size (anisocoric) | Mortality (at discharge) | N | Regression
Pupil size (bilaterally dilated) | Mortality (at discharge) | Y | Regression
CPR | Mortality (at discharge) | Y | Regression
Age (<90) | Mortality (at discharge) | Y | Regression
AIS head | Mortality (at discharge) | Y | Regression

Gender | GOS (at discharge) | Y | Regression
GCS | GOS (at discharge) | Y | Regression
EDH | GOS (at discharge) | N | Regression
SDH | GOS (at discharge) | N | Regression
SAH | GOS (at discharge) | Y | Regression
ICH | GOS (at discharge) | Y | Regression
Brain edema | GOS (at discharge) | Y | Regression
Brainstem hemorrhage | GOS (at discharge) | Y | Regression
Coagulopathy | GOS (at discharge) | Y | Regression
Pupil reactivity (sluggish) | GOS (at discharge) | N | Regression
Pupil reactivity (fixed) | GOS (at discharge) | Y | Regression
Pupil size (anisocoric) | GOS (at discharge) | N | Regression
Pupil size (bilaterally dilated) | GOS (at discharge) | N | Regression
CPR | GOS (at discharge) | Y | Regression
Age (<90) | GOS (at discharge) | N | Regression
AIS head | GOS (at discharge) | Y | Regression

Eppendorf-Cologne scale | Mortality (at discharge) | Y | ROC AUC
Pupil reactivity | Mortality (at discharge) | Y | ROC AUC
Pupil width | Mortality (at discharge) | Y | ROC AUC
Eppendorf-Cologne scale (motor component) | Mortality (at discharge) | Y | ROC AUC
GCS | Mortality (at discharge) | Y | ROC AUC","Regression (i.e., logistic, linear); Binary classifier with ROC","",""
4675,AbdelBariMattar 2020,Prognostic Factors for Olfactory Dysfunction in Adult Mild Head Trauma.,Steven Qiu,No (Wrong patient population),"","","","","","","","","","","","","","","","","","","","",""
4071,Choi 2022,Development and validation of a prehospital-stage prediction tool for traumatic brain injury: a multicentre retrospective cohort study in Korea.,Steven Qiu,No (Wrong patient population),"","","","","","","","","","","","","","","","","","","","",""
